assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11685861,57882,Microhyla heymonsi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,heymonsi,,,,"Vogt, 1911",Least Concern,,3.1,Stable,Global
11686884,57886,Microhyla ornata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,ornata,,,,"(Duméril &amp; Bibron, 1841)",Least Concern,,3.1,Stable,Global
11687076,57815,Gastrophryne olivacea,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Gastrophryne,olivacea,,,,"(Hallowell, 1857)",Least Concern,,3.1,Stable,Global
11688647,57892,Microhyla rubra,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,rubra,,,,"(Jerdon, 1854)",Least Concern,,3.1,Stable,Global
11688802,57821,Hamptophryne boliviana,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Hamptophryne,boliviana,,,,"(Parker, 1927)",Least Concern,,3.1,Stable,Global
11688938,57893,Microhyla sholigari,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,sholigari,,,,"Dutta and Ray, 2000",Endangered,B1ab(iii),3.1,Decreasing,Global
11690346,57898,Myersiella microps,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Myersiella,microps,,,,"(Duméril and Bibron, 1841)",Least Concern,,3.1,Stable,Global
11690606,57899,Ctenophryne aequatorialis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Ctenophryne,aequatorialis,,,,"(Peracca, 1904)",Least Concern,,3.1,Stable,Global
11691984,57837,Kalophrynus interlineatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Kalophrynus,interlineatus,,,,"Blyth, 1855",Least Concern,,3.1,Stable,Global
11692270,57839,Kalophrynus menglienicus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Kalophrynus,menglienicus,,,,"Yang and Su, 1980",Data Deficient,,3.1,Unknown,Global
11692583,57842,Kalophrynus orangensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Kalophrynus,orangensis,,,,"Dutta, Ahmed and Das, 2000",Data Deficient,,3.1,Unknown,Global
11692835,57844,Kalophrynus pleurostigma,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Kalophrynus,pleurostigma,,,,"Tschudi, 1838",Least Concern,,3.1,Stable,Global
11693266,57848,Kaloula baleata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Kaloula,baleata,,,,"(Müller, 1836)",Least Concern,,3.1,Stable,Global
